airport_id;ano;total_movimento;cenario;conexao;demanda_liquida_aeroporto;uf
SBCA;2012;169306,0;Observado;0,0;169306,0;PR
SBCA;2013;153462,0;Observado;0,0;153462,0;PR
SBCA;2014;230282,0;Observado;0,0;230282,0;PR
SBCA;2015;252592,0;Observado;0,0;252592,0;PR
SBCA;2016;195664,0;Observado;0,0;195664,0;PR
SBCA;2017;156586,0;Observado;0,0;156586,0;PR
SBCA;2018;143431,0;Observado;0,0;143431,0;PR
SBCA;2019;232704,0;Observado;0,0;232704,0;PR
SBCA;2020;127616,0;Observado;0,0;127616,0;PR
SBCA;2021;174811,0;Observado;0,0;174811,0;PR
SBCA;2022;279027,0;Observado;0,0;279027,0;PR
SBCA;2023;368363,0;Observado;0,0;368363,0;PR
SBCA;2024;416951,0;Observado;0,0;416951,0;PR
SBCB;2004;1445,0;Observado;0,0;1445,0;RJ
SBCB;2007;1259,0;Observado;0,0;1259,0;RJ
SBCB;2008;5633,0;Observado;0,0;5633,0;RJ
SBCB;2009;7287,0;Observado;0,0;7287,0;RJ
SBCB;2010;10240,0;Observado;0,0;10240,0;RJ
SBCB;2011;12394,0;Observado;0,0;12394,0;RJ
SBCB;2012;13557,0;Observado;0,0;13557,0;RJ
SBCB;2013;23062,0;Observado;0,0;23062,0;RJ
SBCB;2014;39772,0;Observado;0,0;39772,0;RJ
SBCB;2015;47364,0;Observado;0,0;47364,0;RJ
SBCB;2016;37767,0;Observado;0,0;37767,0;RJ
SBCB;2017;36153,0;Observado;0,0;36153,0;RJ
SBCB;2018;32055,0;Observado;0,0;32055,0;RJ
SBCB;2019;44447,0;Observado;0,0;44447,0;RJ
SBCB;2020;33638,0;Observado;0,0;33638,0;RJ
SBCB;2021;38512,0;Observado;0,0;38512,0;RJ
SBCB;2022;47872,0;Observado;0,0;47872,0;RJ
SBCB;2023;38746,0;Observado;0,0;38746,0;RJ
SBCB;2024;32944,0;Observado;0,0;32944,0;RJ
SBCF;2004;338681,0;Observado;0,0;338681,0;MG
SBCF;2005;2766542,0;Observado;0,0;2766542,0;MG
SBCF;2006;3583459,0;Observado;0,0;3583459,0;MG
SBCF;2007;4196199,0;Observado;0,0;4196199,0;MG
SBCF;2008;4715817,0;Observado;0,0;4715817,0;MG
SBCF;2009;5356610,0;Observado;0,0;5356610,0;MG
SBCF;2010;7053354,0;Observado;0,0;7053354,0;MG
SBCF;2011;9240230,0;Observado;0,0;9240230,0;MG
SBCF;2012;10117157,0;Observado;0,0;10117157,0;MG
SBCF;2013;9936508,0;Observado;0,0;9936508,0;MG
SBCF;2014;10518765,0;Observado;0,0;10518765,0;MG
SBCF;2015;10775762,0;Observado;0,0;10775762,0;MG
SBCF;2016;9251820,0;Observado;0,0;9251820,0;MG
SBCF;2017;9632388,0;Observado;0,0;9632388,0;MG
SBCF;2018;9989027,0;Observado;0,0;9989027,0;MG
SBCF;2019;10590922,0;Observado;0,0;10590922,0;MG
SBCF;2020;4636138,0;Observado;0,0;4636138,0;MG
SBCF;2021;6540728,0;Observado;0,0;6540728,0;MG
SBCF;2022;9215299,0;Observado;0,0;9215299,0;MG
SBCF;2023;10013673,0;Observado;0,0;10013673,0;MG
SBCF;2024;11643239,0;Observado;0,0;11643239,0;MG
SBCG;2004;539573,0;Observado;0,0;539573,0;MS
SBCG;2005;645787,0;Observado;0,0;645787,0;MS
SBCG;2006;676707,0;Observado;0,0;676707,0;MS
SBCG;2007;729487,0;Observado;0,0;729487,0;MS
SBCG;2008;832048,0;Observado;0,0;832048,0;MS
SBCG;2009;1003371,0;Observado;0,0;1003371,0;MS
SBCG;2010;1310956,0;Observado;0,0;1310956,0;MS
SBCG;2011;1494428,0;Observado;0,0;1494428,0;MS
SBCG;2012;1674799,0;Observado;0,0;1674799,0;MS
SBCG;2013;1590981,0;Observado;0,0;1590981,0;MS
SBCG;2014;1626252,0;Observado;0,0;1626252,0;MS
SBCG;2015;1557503,0;Observado;0,0;1557503,0;MS
SBCG;2016;1446842,0;Observado;0,0;1446842,0;MS
SBCG;2017;1527519,0;Observado;0,0;1527519,0;MS
SBCG;2018;1573475,0;Observado;0,0;1573475,0;MS
SBCG;2019;1501704,0;Observado;0,0;1501704,0;MS
SBCG;2020;690884,0;Observado;0,0;690884,0;MS
SBCG;2021;937509,0;Observado;0,0;937509,0;MS
SBCG;2022;1356980,0;Observado;0,0;1356980,0;MS
SBCG;2023;1502853,0;Observado;0,0;1502853,0;MS
SBCG;2024;1521150,0;Observado;0,0;1521150,0;MS
SBCH;2004;63844,0;Observado;0,0;63844,0;SC
SBCH;2005;73445,0;Observado;0,0;73445,0;SC
SBCH;2006;71809,0;Observado;0,0;71809,0;SC
SBCH;2007;125754,0;Observado;0,0;125754,0;SC
SBCH;2008;138210,0;Observado;0,0;138210,0;SC
SBCH;2009;190873,0;Observado;0,0;190873,0;SC
SBCH;2010;216855,0;Observado;0,0;216855,0;SC
SBCH;2011;251378,0;Observado;0,0;251378,0;SC
SBCH;2012;212100,0;Observado;0,0;212100,0;SC
SBCH;2013;388108,0;Observado;0,0;388108,0;SC
SBCH;2014;420541,0;Observado;0,0;420541,0;SC
SBCH;2015;437629,0;Observado;0,0;437629,0;SC
SBCH;2016;414289,0;Observado;0,0;414289,0;SC
SBCH;2017;465107,0;Observado;0,0;465107,0;SC
SBCH;2018;479576,0;Observado;0,0;479576,0;SC
SBCH;2019;461680,0;Observado;0,0;461680,0;SC
SBCH;2020;239805,0;Observado;0,0;239805,0;SC
SBCH;2021;386461,0;Observado;0,0;386461,0;SC
SBCH;2022;504682,0;Observado;0,0;504682,0;SC
SBCH;2023;600185,0;Observado;0,0;600185,0;SC
SBCH;2024;614651,0;Observado;0,0;614651,0;SC
SBCJ;2004;14653,0;Observado;0,0;14653,0;PA
SBCJ;2005;34457,0;Observado;0,0;34457,0;PA
SBCJ;2006;45587,0;Observado;0,0;45587,0;PA
SBCJ;2007;26253,0;Observado;0,0;26253,0;PA
SBCJ;2008;26992,0;Observado;0,0;26992,0;PA
SBCJ;2009;25401,0;Observado;0,0;25401,0;PA
SBCJ;2010;45320,0;Observado;0,0;45320,0;PA
SBCJ;2011;85525,0;Observado;0,0;85525,0;PA
SBCJ;2012;125537,0;Observado;0,0;125537,0;PA
SBCJ;2013;112446,0;Observado;0,0;112446,0;PA
SBCJ;2014;132327,0;Observado;0,0;132327,0;PA
SBCJ;2015;204874,0;Observado;0,0;204874,0;PA
SBCJ;2016;154699,0;Observado;0,0;154699,0;PA
SBCJ;2017;121425,0;Observado;0,0;121425,0;PA
SBCJ;2018;112354,0;Observado;0,0;112354,0;PA
SBCJ;2019;138418,0;Observado;0,0;138418,0;PA
SBCJ;2020;60866,0;Observado;0,0;60866,0;PA
SBCJ;2021;106790,0;Observado;0,0;106790,0;PA
SBCJ;2022;127062,0;Observado;0,0;127062,0;PA
SBCJ;2023;156824,0;Observado;0,0;156824,0;PA
SBCJ;2024;194125,0;Observado;0,0;194125,0;PA
SBCN;2008;63525,0;Observado;0,0;63525,0;GO
