ICAO;cenario;Ano; Carga (kg) 
SBAT;Tendencial;2033;56533,94397
SBAT;Tendencial;2034;57035,36437
SBAT;Tendencial;2035;57569,19309
SBAT;Tendencial;2036;58127,01463
SBAT;Tendencial;2037;58703,32247
SBAT;Tendencial;2038;59294,6883
SBAT;Tendencial;2039;59898,84064
SBAT;Tendencial;2040;60514,48386
SBAT;Tendencial;2041;61140,88033
SBAT;Tendencial;2042;61777,8291
SBAT;Tendencial;2043;62425,40449
SBAT;Tendencial;2044;63084,01165
SBAT;Tendencial;2045;63754,17748
SBAT;Tendencial;2046;64436,60852
SBAT;Tendencial;2047;65132,04533
SBAT;Tendencial;2048;65841,30454
SBAT;Tendencial;2049;66565,15456
SBAT;Tendencial;2050;67304,3715
SBAT;Tendencial;2051;68059,63093
SBAT;Tendencial;2052;68831,5662
SBAT;Tendencial;2053;69620,69368
SBAT;Tendencial;2054;70427,46759
SBAT;Pessimista;2025;60827,93543
SBAT;Pessimista;2026;57433,55663
SBAT;Pessimista;2027;55693,12875
SBAT;Pessimista;2028;54804,83401
SBAT;Pessimista;2029;54382,4765
SBAT;Pessimista;2030;54226,2424
SBAT;Pessimista;2031;54226,71027
SBAT;Pessimista;2032;54322,25256
SBAT;Pessimista;2033;54476,75461
SBAT;Pessimista;2034;54668,81936
SBAT;Pessimista;2035;54885,201
SBAT;Pessimista;2036;55117,71666
SBAT;Pessimista;2037;55361,0091
SBAT;Pessimista;2038;55611,72015
SBAT;Pessimista;2039;55867,6063
SBAT;Pessimista;2040;56127,34586
SBAT;Pessimista;2041;56390,14076
SBAT;Pessimista;2042;56655,68136
SBAT;Pessimista;2043;56923,90237
SBAT;Pessimista;2044;57195,02237
SBAT;Pessimista;2045;57469,35443
SBAT;Pessimista;2046;57747,35171
SBAT;Pessimista;2047;58029,47936
SBAT;Pessimista;2048;58316,24897
SBAT;Pessimista;2049;58608,11353
SBAT;Pessimista;2050;58905,51545
SBAT;Pessimista;2051;59208,79842
SBAT;Pessimista;2052;59518,25824
SBAT;Pessimista;2053;59834,08448
SBAT;Pessimista;2054;60156,40814
