Cenário Projeção;Natureza;ICAO;Atributo;Valor
Pessimista;domestico;SBAE;2041;1519,451927
Pessimista;domestico;SBAE;2042;1531,496892
Pessimista;domestico;SBAE;2043;1542,991744
Pessimista;domestico;SBAE;2044;1555,536968
Pessimista;domestico;SBAE;2045;1567,478909
Pessimista;domestico;SBAE;2046;1580,129926
Pessimista;domestico;SBAE;2047;1591,361018
Pessimista;domestico;SBAE;2048;1603,424782
Pessimista;domestico;SBAE;2049;1614,840911
Pessimista;domestico;SBAE;2050;1626,355701
Pessimista;domestico;SBAE;2051;1638,614362
Pessimista;domestico;SBAE;2052;1651,41009
Pessimista;domestico;SBAE;2053;1664,26995
Pessimista;domestico;SBAE;2054;1677,789761
Pessimista;domestico;SBAR;2025;10680,61559
Pessimista;domestico;SBAR;2026;10497,3732
Pessimista;domestico;SBAR;2027;10539,03818
Pessimista;domestico;SBAR;2028;10635,12166
Pessimista;domestico;SBAR;2029;10746,57429
Pessimista;domestico;SBAR;2030;10854,72498
Pessimista;domestico;SBAR;2031;10956,7663
Pessimista;domestico;SBAR;2032;11053,36545
Pessimista;domestico;SBAR;2033;11146,42747
Pessimista;domestico;SBAR;2034;11237,41371
Pessimista;domestico;SBAR;2035;11327,54589
Pessimista;domestico;SBAR;2036;11417,5603
Pessimista;domestico;SBAR;2037;11508,23633
Pessimista;domestico;SBAR;2038;11599,74123
Pessimista;domestico;SBAR;2039;11693,01372
Pessimista;domestico;SBAR;2040;11788,20001
Pessimista;domestico;SBAR;2041;11884,90762
Pessimista;domestico;SBAR;2042;11984,58454
Pessimista;domestico;SBAR;2043;12085,5587
Pessimista;domestico;SBAR;2044;12188,07108
Pessimista;domestico;SBAR;2045;12291,9196
Pessimista;domestico;SBAR;2046;12397,71507
Pessimista;domestico;SBAR;2047;12504,30937
Pessimista;domestico;SBAR;2048;12612,31884
Pessimista;domestico;SBAR;2049;12721,79514
Pessimista;domestico;SBAR;2050;12832,24346
Pessimista;domestico;SBAR;2051;12949,75101
Pessimista;domestico;SBAR;2052;13071,11412
Pessimista;domestico;SBAR;2053;13194,43457
Pessimista;domestico;SBAR;2054;13319,56773
Pessimista;domestico;SBAT;2025;708,278853
Pessimista;domestico;SBAT;2026;709,6338537
Pessimista;domestico;SBAT;2027;700,0482543
Pessimista;domestico;SBAT;2028;698,5837323
Pessimista;domestico;SBAT;2029;700,3408086
Pessimista;domestico;SBAT;2030;706,0974314
Pessimista;domestico;SBAT;2031;712,9661038
Pessimista;domestico;SBAT;2032;720,2943725
Pessimista;domestico;SBAT;2033;727,926616
Pessimista;domestico;SBAT;2034;735,6641388
Pessimista;domestico;SBAT;2035;741,9643395
Pessimista;domestico;SBAT;2036;749,9028296
Pessimista;domestico;SBAT;2037;758,0675409
Pessimista;domestico;SBAT;2038;766,344964
Pessimista;domestico;SBAT;2039;774,6993589
Pessimista;domestico;SBAT;2040;783,2271469
Pessimista;domestico;SBAT;2041;791,8907141
Pessimista;domestico;SBAT;2042;800,68127
Pessimista;domestico;SBAT;2043;809,6639088
Pessimista;domestico;SBAT;2044;818,7733262
Pessimista;domestico;SBAT;2045;828,069183
Pessimista;domestico;SBAT;2046;836,9566267
Pessimista;domestico;SBAT;2047;845,7699745
Pessimista;domestico;SBAT;2048;855,8488289
Pessimista;domestico;SBAT;2049;864,8138371
Pessimista;domestico;SBAT;2050;874,0031519
Pessimista;domestico;SBAT;2051;883,7382239
Pessimista;domestico;SBAT;2052;893,771789
Pessimista;domestico;SBAT;2053;904,0052609
Pessimista;domestico;SBAT;2054;914,3986328
Pessimista;domestico;SBAU;2025;1116,972274
Pessimista;domestico;SBAU;2026;1381,815622
Pessimista;domestico;SBAU;2027;1551,58713
Pessimista;domestico;SBAU;2028;1668,225909
Pessimista;domestico;SBAU;2029;1750,406404
Pessimista;domestico;SBAU;2030;1812,439399
Pessimista;domestico;SBAU;2031;1858,027759
Pessimista;domestico;SBAU;2032;1895,16134
Pessimista;domestico;SBAU;2033;1923,903711
Pessimista;domestico;SBAU;2034;1949,556633
Pessimista;domestico;SBAU;2035;1970,708088
Pessimista;domestico;SBAU;2036;1991,348374
Pessimista;domestico;SBAU;2037;2009,419035
Pessimista;domestico;SBAU;2038;2027,85276
Pessimista;domestico;SBAU;2039;2044,90331
Pessimista;domestico;SBAU;2040;2063,548516
Pessimista;domestico;SBAU;2041;1666,789578
Pessimista;domestico;SBAU;2042;1682,224282
Pessimista;domestico;SBAU;2043;1696,861177
Pessimista;domestico;SBAU;2044;1712,667699
Pessimista;domestico;SBAU;2045;1727,702037
Pessimista;domestico;SBAU;2046;1744,308224
Pessimista;domestico;SBAU;2047;1759,862668
Pessimista;domestico;SBAU;2048;1776,680004
Pessimista;domestico;SBAU;2049;1792,636038
Pessimista;domestico;SBAU;2050;1809,348175
Pessimista;domestico;SBAU;2051;1826,463274
Pessimista;domestico;SBAU;2052;1844,055621
Pessimista;domestico;SBAU;2053;1861,979242
Pessimista;domestico;SBAU;2054;1880,122963
Pessimista;domestico;SBAX;2025;462,3001302
Pessimista;domestico;SBAX;2026;499,0185664
Pessimista;domestico;SBAX;2027;455,1580756
Pessimista;domestico;SBAX;2028;469,2885665
Pessimista;domestico;SBAX;2029;479,688894
Pessimista;domestico;SBAX;2030;487,7948818
Pessimista;domestico;SBAX;2031;494,4740156
Pessimista;domestico;SBAX;2032;500,2483778
Pessimista;domestico;SBAX;2033;505,4216849
Pessimista;domestico;SBAX;2034;510,4384186
Pessimista;domestico;SBAX;2035;515,3553379
Pessimista;domestico;SBAX;2036;520,1952125
Pessimista;domestico;SBAX;2037;525,1259719
Pessimista;domestico;SBAX;2038;530,0407479
Pessimista;domestico;SBAX;2039;535,1233769
Pessimista;domestico;SBAX;2040;540,3870805
Pessimista;domestico;SBAX;2041;545,68119
Pessimista;domestico;SBAX;2042;551,1623803
